,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,term_deposit
0,56,unemployed,divorced,secondary,no,283,yes,yes,cellular,20,apr,89,3,341,2,failure,no
1,50,admin.,single,primary,no,181,yes,no,cellular,15,may,119,4,372,3,failure,no
2,46,entrepreneur,single,tertiary,no,1410,yes,no,cellular,19,nov,93,1,189,8,failure,no
3,34,management,married,tertiary,no,273,yes,no,cellular,20,nov,308,1,188,1,success,no
4,58,retired,married,tertiary,no,138,no,no,cellular,7,may,143,1,346,5,failure,no
5,30,management,single,tertiary,no,2907,yes,no,cellular,30,dec,146,2,218,1,failure,no
6,33,management,single,tertiary,no,1240,yes,no,cellular,4,feb,505,2,260,1,other,no
7,32,admin.,single,secondary,no,626,yes,no,cellular,7,may,324,2,351,1,failure,no
8,35,technician,single,secondary,no,705,yes,yes,cellular,15,may,177,1,361,3,failure,no
9,37,services,single,secondary,no,342,yes,no,cellular,4,feb,127,1,273,1,failure,no
10,53,management,married,tertiary,no,-388,yes,no,cellular,14,may,111,3,356,1,other,no
11,54,management,married,tertiary,no,1460,no,yes,cellular,3,feb,341,3,202,7,other,no
12,34,housemaid,married,tertiary,no,4958,yes,no,cellular,19,nov,175,1,183,1,failure,no
13,35,admin.,single,secondary,no,111,yes,no,cellular,29,jan,55,1,195,3,failure,no
14,40,admin.,single,secondary,no,664,no,no,cellular,19,nov,188,2,121,2,success,no
15,35,management,single,tertiary,no,714,yes,no,cellular,7,apr,263,2,224,22,failure,no
16,48,blue-collar,married,primary,no,430,no,no,cellular,14,may,340,3,371,8,failure,no
17,44,blue-collar,married,secondary,no,701,no,yes,cellular,21,nov,103,1,141,2,failure,no
18,33,self-employed,married,tertiary,no,263,no,no,cellular,16,nov,79,4,94,3,failure,no
19,42,services,married,secondary,no,798,no,no,cellular,17,apr,80,1,338,1,other,no
20,37,blue-collar,married,secondary,no,-129,yes,no,cellular,20,apr,123,4,328,1,other,no
21,38,technician,single,secondary,no,1270,yes,yes,cellular,15,may,164,1,337,6,other,no
22,35,technician,single,secondary,no,70,yes,no,cellular,21,oct,197,2,188,2,other,no
23,28,blue-collar,married,secondary,no,922,yes,no,cellular,7,may,226,1,339,1,other,no
24,45,blue-collar,married,secondary,no,243,no,no,cellular,21,nov,46,1,163,1,other,no
25,38,housemaid,divorced,primary,no,0,yes,yes,cellular,6,may,79,2,166,7,failure,no
26,54,admin.,married,secondary,no,426,yes,no,cellular,17,apr,74,2,323,1,failure,no
27,46,blue-collar,married,secondary,no,1232,no,yes,cellular,3,feb,300,3,195,8,other,no
28,28,technician,single,tertiary,no,372,yes,yes,cellular,15,may,201,3,294,2,success,no
29,48,entrepreneur,divorced,secondary,no,2,yes,yes,cellular,6,may,593,2,281,4,failure,no
30,27,technician,single,secondary,no,-437,no,no,cellular,4,feb,352,1,216,2,other,no
31,54,technician,divorced,secondary,no,0,yes,yes,cellular,3,feb,62,2,203,5,failure,no
32,39,blue-collar,single,secondary,no,519,yes,yes,cellular,20,nov,149,1,155,14,failure,no
33,51,admin.,married,secondary,no,-229,no,no,cellular,9,feb,18,3,12,1,other,no
34,35,management,single,tertiary,no,13,yes,no,cellular,18,may,17,8,178,5,other,no
35,46,management,married,tertiary,no,523,yes,no,cellular,6,may,105,4,366,2,failure,no
36,60,management,married,tertiary,no,5041,no,no,cellular,4,may,8,7,181,1,success,no
37,32,management,single,tertiary,no,796,no,yes,cellular,30,apr,198,1,160,1,failure,no
38,31,blue-collar,married,primary,no,2198,no,no,cellular,21,nov,423,2,172,2,failure,no
39,22,blue-collar,married,secondary,no,223,yes,no,cellular,6,may,268,1,344,1,failure,no
40,57,retired,married,secondary,no,485,no,no,cellular,2,feb,79,2,187,2,failure,no
41,52,technician,married,tertiary,no,136,yes,no,telephone,14,may,46,2,287,10,other,no
42,44,technician,single,secondary,no,1195,yes,no,cellular,19,nov,187,6,188,9,failure,no
43,31,unemployed,single,secondary,no,-15,yes,no,cellular,12,may,278,2,370,3,other,no
44,30,services,single,secondary,no,9,no,yes,cellular,29,jan,194,2,205,2,failure,no
45,50,blue-collar,married,primary,no,2590,yes,no,telephone,20,nov,281,2,195,6,failure,no
46,34,technician,single,tertiary,no,1393,yes,no,cellular,15,apr,540,3,271,3,success,no
47,43,blue-collar,divorced,secondary,no,47,yes,yes,cellular,13,may,163,2,370,1,failure,no
48,47,admin.,married,secondary,no,642,yes,no,cellular,13,may,197,2,363,2,other,no
49,31,admin.,single,secondary,no,554,yes,no,cellular,11,feb,80,1,6,1,failure,no
